NameSpace	Name	QualifiedName	NumberOfMethods	LinesOfCode	DepthOfInheritance	CyclomaticComplexity	ClassCoupling	AnonymousInnerClassLength	ClassFanOutComplexity	ClassDataAbstractionCoupling	Toxicity
System.ComponentModel.DataAnnotations.Schema	IndexAttribute	System.ComponentModel.DataAnnotations.Schema.IndexAttribute	19	53	2	30	9	0	0	0	0
System.Data.Entity	CreateDatabaseIfNotExists<TContext>	System.Data.Entity.CreateDatabaseIfNotExists<TContext>	4	11	1	6	10	0	0	0	0
System.Data.Entity	Database	System.Data.Entity.Database	43	149	1	74	55	0	0	0	6.354370041
System.Data.Entity	DbConfiguration	System.Data.Entity.DbConfiguration	42	135	1	47	42	0	0	0	5.575949103
System.Data.Entity	DbConfigurationTypeAttribute	System.Data.Entity.DbConfigurationTypeAttribute	3	10	2	4	7	0	0	0	0
System.Data.Entity	DbContext	System.Data.Entity.DbContext	33	83	1	40	42	0	0	0	5.049856007
System.Data.Entity	DbContextTransaction	System.Data.Entity.DbContextTransaction	13	39	1	18	9	0	0	0	0
System.Data.Entity	DbFunctionAttribute	System.Data.Entity.DbFunctionAttribute	3	7	2	3	3	0	0	0	0
System.Data.Entity	DbFunctions	System.Data.Entity.DbFunctions	94	132	1	95	20	0	0	0	4.304065093
System.Data.Entity	DbModelBuilder	System.Data.Entity.DbModelBuilder	32	131	1	52	57	0	0	0	5.780743516
System.Data.Entity	DbModelBuilderVersion	System.Data.Entity.DbModelBuilderVersion	0	0	1	0	0	0	0	0	0
System.Data.Entity	DbModelBuilderVersionAttribute	System.Data.Entity.DbModelBuilderVersionAttribute	3	6	2	4	6	0	0	0	0
System.Data.Entity	DbSet	System.Data.Entity.DbSet	20	47	2	23	20	0	0	0	0
System.Data.Entity	DbSet<TEntity>	System.Data.Entity.DbSet<TEntity>	20	54	2	23	24	0	0	0	0
System.Data.Entity	DropCreateDatabaseAlways<TContext>	System.Data.Entity.DropCreateDatabaseAlways<TContext>	4	7	1	4	6	0	0	0	0
System.Data.Entity	DropCreateDatabaseIfModelChanges<TContext>	System.Data.Entity.DropCreateDatabaseIfModelChanges<TContext>	4	12	1	6	8	0	0	0	0
System.Data.Entity	EntityState	System.Data.Entity.EntityState	0	0	1	0	1	0	0	0	0
System.Data.Entity	IDatabaseInitializer<TContext>	System.Data.Entity.IDatabaseInitializer<TContext>	1	0	0	1	1	0	0	0	0
System.Data.Entity	IDbSet<TEntity>	System.Data.Entity.IDbSet<TEntity>	7	0	0	7	5	0	0	0	0
System.Data.Entity	"MigrateDatabaseToLatestVersion<TContext, TMigrationsConfiguration>"	"System.Data.Entity.MigrateDatabaseToLatestVersion<TContext, TMigrationsConfiguration>"	6	13	1	7	11	0	0	0	0
System.Data.Entity	NullDatabaseInitializer<TContext>	System.Data.Entity.NullDatabaseInitializer<TContext>	2	2	1	2	3	0	0	0	0
System.Data.Entity	ObservableCollectionExtensions	System.Data.Entity.ObservableCollectionExtensions	1	4	1	2	6	0	0	0	0
System.Data.Entity	QueryableExtensions	System.Data.Entity.QueryableExtensions	166	1005	1	330	57	0	0	0	18.4359052
System.Data.Entity	TransactionalBehavior	System.Data.Entity.TransactionalBehavior	0	0	1	0	0	0	0	0	0
System.Data.Entity.Core	EntityCommandCompilationException	System.Data.Entity.Core.EntityCommandCompilationException	4	8	5	4	4	0	0	0	2.302585093
System.Data.Entity.Core	EntityCommandExecutionException	System.Data.Entity.Core.EntityCommandExecutionException	4	8	5	4	4	0	0	0	2.302585093
System.Data.Entity.Core	EntityException	System.Data.Entity.Core.EntityException	4	4	4	4	5	0	0	0	1.609437912
System.Data.Entity.Core	EntityKey	System.Data.Entity.Core.EntityKey	51	389	1	172	53	0	0	0	9.565213694
System.Data.Entity.Core	EntityKey.KeyValueReader	System.Data.Entity.Core.EntityKey.KeyValueReader	3	5	1	3	8	0	0	0	0
System.Data.Entity.Core	EntityKeyMember	System.Data.Entity.Core.EntityKeyMember	8	18	1	9	6	0	0	0	0
System.Data.Entity.Core	EntityResCategoryAttribute	System.Data.Entity.Core.EntityResCategoryAttribute	2	3	3	2	3	0	0	0	0
System.Data.Entity.Core	EntityResDescriptionAttribute	System.Data.Entity.Core.EntityResDescriptionAttribute	2	6	3	3	3	0	0	0	0
System.Data.Entity.Core	EntitySqlException	System.Data.Entity.Core.EntitySqlException	14	63	5	29	12	0	0	0	2.302585093
System.Data.Entity.Core	EntitySqlException.EntitySqlExceptionState	System.Data.Entity.Core.EntitySqlException.EntitySqlExceptionState	9	11	1	9	2	0	0	0	0
System.Data.Entity.Core	EntityUtil	System.Data.Entity.Core.EntityUtil	31	123	1	75	54	0	0	0	5.575949103
System.Data.Entity.Core	EntityUtil.InternalErrorCode	System.Data.Entity.Core.EntityUtil.InternalErrorCode	0	0	1	0	0	0	0	0	0
System.Data.Entity.Core	FieldNameLookup	System.Data.Entity.Core.FieldNameLookup	6	38	1	14	10	0	0	0	0
System.Data.Entity.Core	IEntityStateEntry	System.Data.Entity.Core.IEntityStateEntry	14	0	0	14	8	0	0	0	0
System.Data.Entity.Core	IEntityStateManager	System.Data.Entity.Core.IEntityStateManager	5	0	0	5	5	0	0	0	0
System.Data.Entity.Core	IExtendedDataRecord	System.Data.Entity.Core.IExtendedDataRecord	3	0	0	3	4	0	0	0	0
System.Data.Entity.Core	InternalMappingException	System.Data.Entity.Core.InternalMappingException	7	12	5	7	7	0	0	0	2.302585093
System.Data.Entity.Core	InvalidCommandTreeException	System.Data.Entity.Core.InvalidCommandTreeException	4	4	4	4	5	0	0	0	1.609437912
System.Data.Entity.Core	MappingException	System.Data.Entity.Core.MappingException	4	4	5	4	5	0	0	0	2.302585093
System.Data.Entity.Core	MetadataException	System.Data.Entity.Core.MetadataException	4	7	5	4	5	0	0	0	2.302585093
System.Data.Entity.Core	ObjectNotFoundException	System.Data.Entity.Core.ObjectNotFoundException	4	4	4	4	4	0	0	0	1.609437912
System.Data.Entity.Core	OptimisticConcurrencyException	System.Data.Entity.Core.OptimisticConcurrencyException	5	5	5	5	6	0	0	0	2.302585093
System.Data.Entity.Core	PropertyConstraintException	System.Data.Entity.Core.PropertyConstraintException	7	17	5	8	6	0	0	0	2.302585093
System.Data.Entity.Core	PropertyConstraintException.PropertyConstraintExceptionState	System.Data.Entity.Core.PropertyConstraintException.PropertyConstraintExceptionState	3	5	1	3	2	0	0	0	0
System.Data.Entity.Core	ProviderIncompatibleException	System.Data.Entity.Core.ProviderIncompatibleException	4	4	5	4	4	0	0	0	2.302585093
System.Data.Entity.Core	UpdateException	System.Data.Entity.Core.UpdateException	6	8	4	6	8	0	0	0	1.609437912
System.Data.Entity.Core.Common	DataRecordInfo	System.Data.Entity.Core.Common.DataRecordInfo	6	34	1	18	21	0	0	0	0
System.Data.Entity.Core.Common	DbCommandDefinition	System.Data.Entity.Core.Common.DbCommandDefinition	10	87	1	46	15	0	0	0	1.386294361
System.Data.Entity.Core.Common	DbProviderManifest	System.Data.Entity.Core.Common.DbProviderManifest	13	22	1	18	13	0	0	0	0
System.Data.Entity.Core.Common	DbProviderServices	System.Data.Entity.Core.Common.DbProviderServices	51	226	1	96	60	0	0	0	6.835184586
System.Data.Entity.Core.Common	DbXmlEnabledProviderManifest	System.Data.Entity.Core.Common.DbXmlEnabledProviderManifest	10	56	2	25	32	0	0	0	0.693147181
System.Data.Entity.Core.Common	DbXmlEnabledProviderManifest.EmptyItemCollection	System.Data.Entity.Core.Common.DbXmlEnabledProviderManifest.EmptyItemCollection	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Common	EntityRecordInfo	System.Data.Entity.Core.Common.EntityRecordInfo	5	23	2	12	14	0	0	0	0
System.Data.Entity.Core.Common	FieldMetadata	System.Data.Entity.Core.Common.FieldMetadata	3	7	1	4	3	0	0	0	0
System.Data.Entity.Core.Common	TypeHelpers	System.Data.Entity.Core.Common.TypeHelpers	52	278	1	169	60	0	0	0	8.476371197
System.Data.Entity.Core.Common.CommandTrees	BasicCommandTreeVisitor	System.Data.Entity.Core.Common.CommandTrees.BasicCommandTreeVisitor	10	42	3	18	15	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	BasicExpressionVisitor	System.Data.Entity.Core.Common.CommandTrees.BasicExpressionVisitor	60	148	2	73	64	0	0	0	7.215239979
System.Data.Entity.Core.Common.CommandTrees	DbAggregate	System.Data.Entity.Core.Common.CommandTrees.DbAggregate	3	8	1	3	7	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbAndExpression	System.Data.Entity.Core.Common.CommandTrees.DbAndExpression	3	7	3	3	8	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbApplyExpression	System.Data.Entity.Core.Common.CommandTrees.DbApplyExpression	5	13	2	6	9	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbArithmeticExpression	System.Data.Entity.Core.Common.CommandTrees.DbArithmeticExpression	4	12	2	11	14	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbBinaryExpression	System.Data.Entity.Core.Common.CommandTrees.DbBinaryExpression	4	8	2	4	4	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbCaseExpression	System.Data.Entity.Core.Common.CommandTrees.DbCaseExpression	6	16	2	6	10	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbCastExpression	System.Data.Entity.Core.Common.CommandTrees.DbCastExpression	4	8	3	4	8	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbCommandTree	System.Data.Entity.Core.Common.CommandTrees.DbCommandTree	16	40	1	23	21	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbCommandTreeKind	System.Data.Entity.Core.Common.CommandTrees.DbCommandTreeKind	0	0	1	0	0	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbComparisonExpression	System.Data.Entity.Core.Common.CommandTrees.DbComparisonExpression	3	10	3	8	12	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbConstantExpression	System.Data.Entity.Core.Common.CommandTrees.DbConstantExpression	6	22	2	11	14	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbCrossJoinExpression	System.Data.Entity.Core.Common.CommandTrees.DbCrossJoinExpression	4	10	2	4	10	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbDeleteCommandTree	System.Data.Entity.Core.Common.CommandTrees.DbDeleteCommandTree	7	13	3	8	9	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbDerefExpression	System.Data.Entity.Core.Common.CommandTrees.DbDerefExpression	3	7	3	3	8	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbDistinctExpression	System.Data.Entity.Core.Common.CommandTrees.DbDistinctExpression	3	7	3	3	8	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbElementExpression	System.Data.Entity.Core.Common.CommandTrees.DbElementExpression	5	10	3	5	6	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbEntityRefExpression	System.Data.Entity.Core.Common.CommandTrees.DbEntityRefExpression	3	7	3	3	8	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbExceptExpression	System.Data.Entity.Core.Common.CommandTrees.DbExceptExpression	3	7	3	3	7	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbExpression	System.Data.Entity.Core.Common.CommandTrees.DbExpression	39	108	1	59	25	0	0	0	2.944438979
System.Data.Entity.Core.Common.CommandTrees	DbExpressionBinding	System.Data.Entity.Core.Common.CommandTrees.DbExpressionBinding	5	9	1	5	4	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbExpressionKind	System.Data.Entity.Core.Common.CommandTrees.DbExpressionKind	0	0	1	0	0	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbExpressionKindHelper	System.Data.Entity.Core.Common.CommandTrees.DbExpressionKindHelper	1	1	1	1	1	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbExpressionRebinder	System.Data.Entity.Core.Common.CommandTrees.DbExpressionRebinder	8	101	3	45	45	0	0	0	3.80666249
System.Data.Entity.Core.Common.CommandTrees	DbExpressionVisitor	System.Data.Entity.Core.Common.CommandTrees.DbExpressionVisitor	45	3	1	45	47	0	0	0	6.052089169
System.Data.Entity.Core.Common.CommandTrees	DbExpressionVisitor<TResultType>	System.Data.Entity.Core.Common.CommandTrees.DbExpressionVisitor<TResultType>	45	3	1	45	47	0	0	0	6.052089169
System.Data.Entity.Core.Common.CommandTrees	DbFilterExpression	System.Data.Entity.Core.Common.CommandTrees.DbFilterExpression	5	13	2	5	9	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbFunctionAggregate	System.Data.Entity.Core.Common.CommandTrees.DbFunctionAggregate	3	6	2	3	5	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbFunctionCommandTree	System.Data.Entity.Core.Common.CommandTrees.DbFunctionCommandTree	7	21	2	11	18	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbFunctionExpression	System.Data.Entity.Core.Common.CommandTrees.DbFunctionExpression	6	14	2	6	11	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbGroupAggregate	System.Data.Entity.Core.Common.CommandTrees.DbGroupAggregate	1	1	2	1	3	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbGroupByExpression	System.Data.Entity.Core.Common.CommandTrees.DbGroupByExpression	6	16	2	7	12	0	0	0	0
System.Data.Entity.Core.Common.CommandTrees	DbGroupExpressionBinding	System.Data.Entity.Core.Common.CommandTrees.DbGroupExpressionBinding	9	15	1	10	5	0	0	0	0
