NameSpace	Name	QualifiedName	NumberOfMethods	LinesOfCode	DepthOfInheritance	CyclomaticComplexity	ClassCoupling	AnonymousInnerClassLength	ClassFanOutComplexity	ClassDataAbstractionCoupling	Toxicity
System.Data.Entity.Core.Common.EntitySql	SemanticAnalyzer	System.Data.Entity.Core.Common.EntitySql.SemanticAnalyzer	90	2074	1	721	197	0	0	0	22.2477231
System.Data.Entity.Core.Objects	ObjectStateManager	System.Data.Entity.Core.Objects.ObjectStateManager	138	1309	1	676	101	0	0	0	20.00594971
System.Data.Entity.Migrations.Infrastructure	EdmModelDiffer	System.Data.Entity.Migrations.Infrastructure.EdmModelDiffer	85	1032	1	683	210	0	0	0	19.8980527
System.Data.Entity.Core.Objects	EntityEntry	System.Data.Entity.Core.Objects.EntityEntry	132	1420	2	625	106	0	0	0	19.33607559
System.Data.Entity.Core.Mapping	MappingItemLoader	System.Data.Entity.Core.Mapping.MappingItemLoader	67	1243	1	468	148	0	0	0	18.63746988
System.Data.Entity	QueryableExtensions	System.Data.Entity.QueryableExtensions	166	1005	1	330	57	0	0	0	18.4359052
System.Data.Entity.Core.Common.EntitySql	CqlParser	System.Data.Entity.Core.Common.EntitySql.CqlParser	33	909	1	311	57	0	0	0	18.35812451
System.Data.Entity.Core.Objects	ObjectContext	System.Data.Entity.Core.Objects.ObjectContext	159	1266	1	480	199	0	0	0	16.75645639
System.Data.Entity.Core.Objects.DataClasses	RelatedEnd	System.Data.Entity.Core.Objects.DataClasses.RelatedEnd	134	860	1	452	99	0	0	0	16.63418221
System.Data.Entity.ModelConfiguration.Configuration.Mapping	EntityMappingConfiguration	System.Data.Entity.ModelConfiguration.Configuration.Mapping.EntityMappingConfiguration	40	548	1	256	108	0	0	0	15.66408505
System.Data.Entity.Core.Common.CommandTrees.ExpressionBuilder	DbExpressionBuilder	System.Data.Entity.Core.Common.CommandTrees.ExpressionBuilder.DbExpressionBuilder	164	896	1	270	117	0	0	0	15.41713563
System.Data.Entity.Core.Query.PlanCompiler	ITreeGenerator	System.Data.Entity.Core.Query.PlanCompiler.ITreeGenerator	98	913	2	270	152	0	0	0	15.26775276
