Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Web.Mvc,HtmlHelper,5,0,3,6,5,19
Microsoft.Web.Mvc.ExpressionUtil,FingerprintingExpressionVisitor,3,0,3,5,4,15
Microsoft.Web.Mvc.ModelBinding,MutableObjectModelBinder,4,0,3,5,3,15
System.Collections.Generic,CollectionExtensions,4,0,0,6,4,14
System.Net.Http,HttpRequestMessageExtensions,5,0,0,5,4,14
System.Web.Http.Metadata,ModelMetadata,5,0,0,5,4,14
System.Web.Http.Metadata.Providers,CachedModelMetadata<TPrototypeCache>,4,0,0,5,4,13
System.Web.Razor.Parser,CSharpCodeParser,0,0,3,6,4,13
Microsoft.Web.Mvc,Error,3,0,0,5,5,13
System.Web.Razor.Parser,VBCodeParser,0,0,3,6,4,13
System.Net.Http.Internal,AsyncResult,4,0,0,5,3,12
System.Web.Http.Validation.Providers,DataAnnotationsModelValidatorProvider,4,0,0,5,3,12
System.Web.Http.ModelBinding,ModelStateDictionary,4,0,0,4,4,12
WebMatrix.WebData,SimpleMembershipProvider,0,1,4,3,4,12
System.Web.Razor.Parser,HtmlMarkupParser,0,0,3,5,3,11
System.Web.Http.Routing,HttpParsedRoute,4,0,2,5,0,11
Microsoft.Web.Mvc.ModelBinding,ModelValidationNode,4,0,0,4,3,11
System.Web.Http,NonOwnedStream,3,0,0,4,4,11
System.Web.Http.Description,ApiExplorer,0,0,4,3,3,10
System.Web.Http.Metadata.Providers,CachedDataAnnotationsModelMetadata,4,0,0,4,2,10
System.Web.Mvc,DefaultModelBinder,0,0,4,3,3,10
System.Web.Http.Routing,DirectRouteBuilder,3,0,0,4,3,10
System.Web.Http.Routing,RouteParser,4,0,0,5,1,10
System.Web.Http.Routing,UrlHelper,3,0,0,4,3,10
System.Web.Http.Routing,AttributeRoutingMapper,3,0,2,4,0,9
System.Web.Http,AuthorizeAttribute,3,1,0,3,2,9
System.Web.Mvc,BuildManagerWrapper,3,0,0,4,2,9
System.Web.Mvc,Controller,0,0,4,0,5,9
Microsoft.Web.Mvc,FormExtensions,2,0,0,4,3,9
Microsoft.Web.Helpers,PreApplicationStartCode,3,0,0,4,2,9
System.Web.Mvc.Html,ValidationExtensions,0,0,3,3,3,9
System.Web.Http.ValueProviders,ValueProviderResult,3,0,0,4,2,9
System.Web.Mvc,ControllerActionInvoker,0,0,4,2,2,8
System.Web.Http.SelfHost,HttpSelfHostServer,0,1,4,0,3,8
System.Net.Http.Formatting.Parsers,MimeMultipartParser,3,0,0,5,0,8
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.ModelDescriptions,ModelDescriptionGenerator,0,0,4,4,0,8
Microsoft.Web.Mvc.Resources,RouteCollectionExtensions,3,0,0,4,1,8
System.Web.Http,UriQueryUtility,4,0,0,4,0,8
System.Web.Http,ApiController,0,0,4,0,3,7
System.Web.Mvc.Async,AsyncControllerActionInvoker,1,0,3,3,0,7
System.Web.Http.Metadata.Providers,CachedDataAnnotationsMetadataAttributes,2,0,0,2,3,7
System.Web.Http.Routing,DefaultDirectRouteProvider,3,0,0,4,0,7
Microsoft.AspNet.Facebook.Authorization,FacebookAuthorizeFilter,1,0,2,4,0,7
System.Net.Http.Formatting.Parsers,HttpRequestLineParser,3,0,0,4,0,7
System.Net.Http.Formatting.Parsers,HttpStatusLineParser,3,0,0,4,0,7
Microsoft.Web.Mvc,LinkExtensions,2,0,0,3,2,7
System.Web.Http.ModelBinding,ModelBindingContext,2,0,0,2,3,7
System.Web.Mvc,OutputCacheAttribute,0,1,3,0,3,7
System.Web.Razor.Parser,"TokenizerBackedParser<TTokenizer, TSymbol, TSymbolType>",0,0,3,0,4,7
System.Web.Http.Tracing,TraceWriterExceptionMapper,3,0,0,4,0,7
System.Web.Mvc,VirtualPathProviderViewEngine,0,0,2,2,3,7
System.Web.Helpers,WebGrid,0,0,3,0,4,7
System.Web.Helpers,Chart,0,0,3,0,3,6
System.Web.Razor.Generator,CodeGeneratorContext,0,0,3,0,3,6
System.Web.Razor.Tokenizer,CSharpTokenizer,1,0,0,3,2,6
System.Web.Http.Metadata.Providers,DataAnnotationsModelMetadataProvider,2,0,0,4,0,6
System.Web.Mvc.Html,DefaultEditorTemplates,0,0,3,1,2,6
System.Web.Http.Services,DefaultServices,0,0,4,2,0,6
System.Web.Http.Routing,DirectRouteFactoryContext,2,0,0,3,1,6
System.Web.Http.Filters,FilterInfo,3,0,0,3,0,6
System.Web.Http.WebHost,HttpControllerHandler,0,0,4,1,1,6
System.Web.Http.Owin,HttpMessageHandlerAdapter,0,0,4,0,2,6
System.Web.Mvc.Html,InputExtensions,0,0,0,3,3,6
System.Net.Http.Formatting.Parsers,InternetMessageFormatHeaderParser,2,0,0,4,0,6
System.Web.Helpers,ObjectVisitor,0,0,2,2,2,6
System.Web,PrefixContainer,2,0,0,4,0,6
System.Web.Http.Internal,PropertyHelper,0,0,0,4,2,6
System.Web.Mvc.Html,SelectExtensions,0,0,3,0,3,6
System.Web.Mvc.Async,TaskAsyncActionDescriptor,0,0,3,3,0,6
Microsoft.Web.Mvc,TypeHelpers,2,0,0,4,0,6
System.Web.Helpers,WebImage,0,0,3,0,3,6
System.Web.WebPages,WebPageBase,0,0,3,0,3,6
System.Web.WebPages.Razor,WebPageRazorHost,0,0,3,0,3,6
System.Web.Http.Controllers,ApiControllerActionSelector.ActionSelectorCacheItem,0,0,3,0,2,5
Microsoft.Web.Mvc.ExpressionUtil,"CachedExpressionCompiler.Compiler<TIn, TOut>",2,0,0,3,0,5
System.Net.Http.Headers,CookieHeaderValue,0,0,0,3,2,5
WebMatrix.Data,Database,0,0,3,0,2,5
System.Net.Http,FormattingUtilities,2,0,0,3,0,5
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,HelpPageConfigurationExtensions,0,0,3,0,2,5
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,HelpPageSampleGenerator,0,0,3,1,1,5
System.Web.Http.SelfHost.Channels,HttpMessageEncodingRequestContext,0,0,2,2,1,5
System.Web.Http.Tracing.Tracers,MediaTypeFormatterTracer,0,0,3,0,2,5
System.Web.WebPages.Razor,RazorBuildProvider,0,0,2,0,3,5
System.Web.Mvc.Async,ReflectedAsyncActionDescriptor,0,0,3,2,0,5
System.Web.Razor.Tokenizer,VBTokenizer,1,0,0,3,1,5
Microsoft.Web.Mvc.Resources,WebApiEnabledAttribute,0,1,2,2,0,5
System.Web.WebPages,WebPageExecutingBase,0,0,0,2,3,5
System.Web.WebPages.Deployment,WebPagesDeployment,0,0,3,0,2,5
System.Web.WebPages.Administration.PackageManager,WebProjectManager,0,0,3,0,2,5
System.Net.Http.Formatting,XmlMediaTypeFormatter,0,0,2,0,3,5
System.Web.WebPages,ApplicationStartPage,0,0,2,0,2,4
Microsoft.Web.Mvc.ModelBinding,CollectionModelBinderUtil,1,0,0,3,0,4
System.Net.Http.Formatting,DefaultContentNegotiator,0,0,1,3,0,4
System.Web.Mvc,DefaultControllerFactory,0,0,3,0,1,4
System.Web.Http.Routing,DefaultInlineConstraintResolver,0,0,1,3,0,4
Microsoft.Web.Mvc.Controls,DropDownList,1,0,0,3,0,4
Microsoft.Web.Mvc.Html,HtmlHelperExtensions,0,0,0,0,4,4
System.Web.Http.Controllers,HttpActionDescriptor,0,0,2,0,2,4
System.Web.Http,HttpConfiguration,0,0,2,0,2,4
System.Net.Http.Formatting,MediaTypeFormatter,0,0,1,0,3,4
Microsoft.Web.WebPages.OAuth,OAuthWebSecurity,0,0,1,0,3,4
System.Web.Razor.Parser,ParserContext,0,0,1,0,3,4
System.Web.Razor.Tokenizer,"Tokenizer<TSymbol, TSymbolType>",0,0,1,0,3,4
System.Web.WebPages,ValidationHelper,0,0,2,0,2,4
System.Web.Mvc,ViewTemplateUserControl,0,4,0,0,0,4
System.Web.Helpers,WebMail,0,0,1,2,1,4
WebMatrix.WebData,WebSecurity,0,0,1,0,3,4
System.Web.Mvc.Ajax,AjaxExtensions,0,0,0,0,3,3
System.Web.Mvc.Ajax,AjaxOptions,0,0,0,0,3,3
System.Web.Mvc.Async,AsyncControllerActionInvoker.AsyncInvocationWithFilters,0,0,0,3,0,3
System.Web.Razor.Editor,BackgroundParser.BackgroundThread,0,0,0,3,0,3
