Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Project,EntityFramework (Debug), , , ,80,46283,7,3766,101160
Namespace,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema, , ,81,30,2,9,53
Type,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute, ,81,30,2,9,53
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,Equals(IndexAttribute) : bool,80,4,,1,2
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,Equals(object) : bool,67,4,,1,8
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,GetHashCode() : int,66,2,,2,7
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IndexAttribute(),87,1,,1,2
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IndexAttribute(string),76,1,,2,4
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,"IndexAttribute(string, int)",68,2,,3,7
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,"IndexAttribute(string, int, bool?, bool?)",71,1,,2,6
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IsClustered.get() : bool,90,2,,1,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IsClustered.set(bool) : void,92,1,,1,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IsClusteredConfigured.get() : bool,94,1,,1,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IsUnique.get() : bool,90,2,,1,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IsUnique.set(bool) : void,92,1,,1,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,IsUniqueConfigured.get() : bool,94,1,,1,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,Name.get() : string,98,1,,0,1
Member,EntityFramework (Debug),System.ComponentModel.DataAnnotations.Schema,IndexAttribute,Name.set(string) : void,86,1,,1,2
