Method,LOC,NP,v(G)
"null.addProviderDependencies(PersistenceUnitMetadata)",3,1,1
"null.addProviderProperties(Map,PersistenceUnitMetadata)",3,2,1
"null.additionalOperations(PathAddress,ModelNode,List<ModelNode>)",5,3,1
"null.afterCompletion(int)",4,1,1
"null.afterCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",3,1,1
"null.apply(AnnotationType)",4,1,1
"null.apply(ClassInfo)",4,1,1
"null.apply(DotName)",3,1,1
"null.apply(MarshallingConfigurationContext)",8,1,1
"null.apply(Module)",8,1,1
"null.apply(ModuleLoader)",7,1,1
"null.beforeCompletion()",3,0,1
"null.beforeCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",3,1,1
"null.classesAdded(JavaArchive,List<Class<?>>)",13,2,4
"null.cleanup(PersistenceUnitMetadata)",3,1,1
"null.clear()",4,0,1
"null.close()",4,0,1
"null.compare(VirtualFile,VirtualFile)",4,2,1
"null.constructService(ComponentConfiguration)",3,1,1
"null.correct(ModelNode,ModelNode)",24,2,3
"null.create(Component,InterceptorFactoryContext)",4,2,1
"null.createBuilder(String,ModuleIdentifier)",4,2,1
"null.createBuilder(String,String)",4,2,1
"null.createConsistentHashFactory(boolean)",4,1,2
"null.discard()",4,0,1
"null.doesScopedPersistenceUnitNameIdentifyCacheRegionName(PersistenceUnitMetadata)",4,1,1
"null.equals(Object)",3,1,2
"null.exchangeEvent(HttpServerExchange,NextListener)",5,2,1
"null.execute(ActivationInterceptor)",4,1,1
"null.execute(AdvancedCache<?, ?>)",5,1,1
"null.execute(BackupOperationContext)",4,1,1
"null.execute(Cache<?, ?>)",5,1,2
"null.execute(ChannelFactory)",14,1,2
"null.execute(DefaultLockManager)",4,1,1
"null.execute(EmbeddedCacheManager)",5,1,2
"null.execute(JChannel)",4,1,1
"null.execute(OperationContext,ModelNode)",8,2,1
"null.execute(RpcManagerImpl)",4,1,1
"null.execute(TxInterceptor<?, ?>)",4,1,1
"null.getArtifactFactory()",4,0,1
"null.getAttributeOverrideDescriptions(Locale)",4,1,1
"null.getBatchConfigurationProperties()",4,0,1
"null.getChildTypeOverrideDescriptions(Locale)",9,1,1
"null.getClassLoader()",4,0,1
"null.getConnection()",3,0,1
"null.getInstance()",3,0,1
"null.getInstanceClassName()",4,0,1
"null.getJobRepository()",4,0,1
"null.getJobXmlResolver()",4,0,1
"null.getManagementAdaptor()",4,0,1
"null.getReference()",3,0,1
"null.getResourceValue(ResolutionContext,ServiceBuilder<?>,DeploymentPhaseContext,Injector<ManagedReferenceFactory>)",3,4,1
"null.getServiceName(String)",4,1,1
"null.getServiceName(String,String)",4,2,1
"null.getTransaction()",4,0,1
"null.getTransactionManager()",4,0,1
"null.hashCode()",3,0,1
"null.initialValue()",3,0,1
"null.injectJtaManager(JtaManager)",3,1,1
"null.injectPlatform(Platform)",3,1,1
"null.interpose()",4,0,1
"null.invoke(Object...)",5,1,2
"null.isAcceptable(Object,Address)",4,2,1
"null.isLeavesOnly()",3,0,1
"null.isMarshallable(AttributeDefinition,ModelNode,boolean)",4,3,2
"null.isMarshallableAsElement()",4,0,1
"null.isRedirected(HttpRequest,HttpResponse,HttpContext)",14,3,4
"null.isSet()",4,0,1
"null.loadClass(String)",4,1,4
"null.marshallAsAttribute(AttributeDefinition,ModelNode,boolean,XMLStreamWriter)",5,4,2
"null.marshallAsElement(AttributeDefinition,ModelNode,XMLStreamWriter)",4,3,1
"null.marshallAsElement(AttributeDefinition,ModelNode,boolean,XMLStreamWriter)",11,4,3
"null.mutate()",4,0,1
"null.needMoreResponses()",4,0,1
"null.parseAndSetParameter(AttributeDefinition,String,ModelNode,XMLStreamReader)",10,4,3
"null.populate()",4,0,1
"null.populateModel(ModelNode,ModelNode)",5,2,1
"null.preSuspend(ServerActivityCallback)",9,1,2
"null.processInvocation(InterceptorContext)",20,1,7
"null.readData(DataInput)",10,1,2
"null.readObject(ObjectInput)",6,1,1
"null.release()",2,0,1
"null.resume()",8,0,2
"null.run()",4,0,1
"null.setBoolean(AutoTimer,boolean)",3,2,1
"null.setConnection(Connection)",4,1,1
"null.setString(AutoTimer,String)",3,2,1
"null.setThreadContextClassLoader(ClassLoader)",4,1,1
"null.setValue(ModelNode,Object)",4,2,1
"null.submitTask(JobTask)",4,1,1
"null.suspended(ServerActivityCallback)",3,1,1
"null.tearDown()",9,0,2
"null.toString()",4,0,1
"null.transform(PathAddress)",4,1,1
"null.transformOperation(TransformationContext,PathAddress,ModelNode)",16,3,3
"null.validateParameter(String,ModelNode)",8,2,4
"null.validateResolvedParameter(String,ModelNode)",4,2,1
"null.writeData(DataOutput,int)",9,2,2
"null.writeObject(ObjectOutput,String)",6,2,1
"org.jboss.as.appclient.component.ApplicationClientComponentDescription.ApplicationClientComponentDescription(String,EEModuleDescription,ServiceName,EEApplicationClasses)",4,4,1
"org.jboss.as.appclient.component.ApplicationClientComponentDescription.createConfiguration(ClassReflectionIndex,ClassLoader,ModuleLoader)",4,3,1
"org.jboss.as.appclient.component.ApplicationClientComponentDescription.isIntercepted()",3,0,1
"org.jboss.as.appclient.deployment.ActiveApplicationClientProcessor.ActiveApplicationClientProcessor(String)",3,1,1
"org.jboss.as.appclient.deployment.ActiveApplicationClientProcessor.deploy(DeploymentPhaseContext)",30,1,11
"org.jboss.as.appclient.deployment.ActiveApplicationClientProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.appclient.deployment.AppClientAttachments.AppClientAttachments()",2,0,1
"org.jboss.as.appclient.deployment.AppClientJBossAllParser.parse(XMLExtendedStreamReader,DeploymentUnit)",4,2,1
"org.jboss.as.appclient.deployment.ApplicationClientDependencyProcessor.ApplicationClientDependencyProcessor()",2,0,1
"org.jboss.as.appclient.deployment.ApplicationClientDependencyProcessor.deploy(DeploymentPhaseContext)",25,1,7
"org.jboss.as.appclient.deployment.ApplicationClientDependencyProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.appclient.deployment.ApplicationClientManifestProcessor.deploy(DeploymentPhaseContext)",33,1,8
"org.jboss.as.appclient.deployment.ApplicationClientManifestProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.appclient.deployment.ApplicationClientParsingDeploymentProcessor.deploy(DeploymentPhaseContext)",30,1,8
"org.jboss.as.appclient.deployment.ApplicationClientParsingDeploymentProcessor.getXMLStreamReader(InputStream)",6,1,1
"org.jboss.as.appclient.deployment.ApplicationClientParsingDeploymentProcessor.parseAppClient(DeploymentUnit,PropertyReplacer)",33,2,7
"org.jboss.as.appclient.deployment.ApplicationClientParsingDeploymentProcessor.parseJBossClient(DeploymentUnit,PropertyReplacer)",27,2,6
"org.jboss.as.appclient.deployment.ApplicationClientParsingDeploymentProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.appclient.deployment.ApplicationClientStartProcessor.ApplicationClientStartProcessor(String,String,String[])",5,3,1
"org.jboss.as.appclient.deployment.ApplicationClientStartProcessor.deploy(DeploymentPhaseContext)",4,1,19
"org.jboss.as.appclient.deployment.ApplicationClientStartProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.appclient.deployment.ApplicationClientStructureProcessor.ApplicationClientStructureProcessor(String)",3,1,1
"org.jboss.as.appclient.deployment.ApplicationClientStructureProcessor.deploy(DeploymentPhaseContext)",36,1,9
"org.jboss.as.appclient.deployment.ApplicationClientStructureProcessor.mount(VirtualFile,boolean)",8,2,3
"org.jboss.as.appclient.deployment.ApplicationClientStructureProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.ForwardingEjbClientConfiguration(EJBClientConfiguration)",3,1,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getCallbackHandler()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getClusterConfiguration(String)",4,1,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getConnectionConfigurations()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getDeploymentNodeSelector()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getEndpointCreationOptions()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getEndpointName()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getInvocationTimeout()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getReconnectTasksTimeout()",4,0,1
"org.jboss.as.appclient.deployment.ForwardingEjbClientConfiguration.getRemoteConnectionProviderCreationOptions()",4,0,1
"org.jboss.as.appclient.logging.AppClientLogger.appClientNotSpecified()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argAppClientConfig()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argConnectionProperties()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argHelp()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argHost()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argProperties()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argSecMgr()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argSystemProperty()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argUsage()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argVersion()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.argumentExpected(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotFindAppClient()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotFindAppClient(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotFindAppClientFile(File)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotLoadAppClientMainClass(Throwable)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotLoadComponentClass(Throwable)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotLoadProperties(URL)",n/a,1,n/a
