Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Project,Metropolis (Debug), , , ,84,355,9,144,597
Namespace,Metropolis (Debug),Metropolis, , ,90,61,9,61,112
Type,Metropolis (Debug),Metropolis,App, ,100,1,3,1,1
Member,Metropolis (Debug),Metropolis,App,App(),100,1,,1,1
Type,Metropolis (Debug),Metropolis,Canvas, ,76,38,9,46,82
Member,Metropolis (Debug),Metropolis,Canvas,"AboutMetropolis(object, RoutedEventArgs) : void",92,1,,2,1
Member,Metropolis (Debug),Metropolis,Canvas,Canvas(),57,2,,12,15
Member,Metropolis (Debug),Metropolis,Canvas,"ChangeCameraSettings(object, RoutedPropertyChangedEventArgs<double>) : void",88,1,,4,1
Member,Metropolis (Debug),Metropolis,Canvas,GetCamera() : PerspectiveCamera,87,1,,2,2
Member,Metropolis (Debug),Metropolis,Canvas,GetFileName(string) : string,77,2,,4,3
Member,Metropolis (Debug),Metropolis,Canvas,"HandleMouseWheel(object, MouseWheelEventArgs) : void",81,2,,4,2
Member,Metropolis (Debug),Metropolis,Canvas,HookupEventHandlers() : void,79,1,,5,3
Member,Metropolis (Debug),Metropolis,Canvas,Layout.get() : AbstractLayout,98,1,,1,1
Member,Metropolis (Debug),Metropolis,Canvas,"LoadProject(object, RoutedEventArgs) : void",85,2,,2,2
Member,Metropolis (Debug),Metropolis,Canvas,LoadProject(string) : void,67,1,,5,6
Member,Metropolis (Debug),Metropolis,Canvas,"LoadToxicity(object, RoutedEventArgs) : void",78,2,,3,3
Member,Metropolis (Debug),Metropolis,Canvas,"LoadVisualStudioMetrics(object, RoutedEventArgs) : void",78,2,,3,3
Member,Metropolis (Debug),Metropolis,Canvas,Model.get() : Model3DGroup,98,1,,1,1
Member,Metropolis (Debug),Metropolis,Canvas,"NewProject(object, RoutedEventArgs) : void",84,1,,4,2
Member,Metropolis (Debug),Metropolis,Canvas,"NewVersion(object, RoutedEventArgs) : void",95,1,,2,1
Member,Metropolis (Debug),Metropolis,Canvas,"OpenFile(Action<string>, string) : void",71,3,,2,6
Member,Metropolis (Debug),Metropolis,Canvas,"Parse(IClassParser, string) : void",70,2,,2,6
Member,Metropolis (Debug),Metropolis,Canvas,Renderlayout() : void,76,2,,4,4
Member,Metropolis (Debug),Metropolis,Canvas,"ResetCamera(object, RoutedEventArgs) : void",89,1,,2,2
Member,Metropolis (Debug),Metropolis,Canvas,"SaveProject(object, RoutedEventArgs) : void",66,3,,9,7
Member,Metropolis (Debug),Metropolis,Canvas,SetClassInformation(string) : void,95,1,,1,1
Member,Metropolis (Debug),Metropolis,Canvas,SetSliders() : void,76,1,,2,4
Member,Metropolis (Debug),Metropolis,Canvas,"ShowCityLayout(object, RoutedEventArgs) : void",86,1,,3,2
Member,Metropolis (Debug),Metropolis,Canvas,"ShowSquareLayout(object, RoutedEventArgs) : void",86,1,,3,2
Member,Metropolis (Debug),Metropolis,Canvas,"Shutdown(object, RoutedEventArgs) : void",100,1,,2,1
Member,Metropolis (Debug),Metropolis,Canvas,ViewPort.get() : Viewport3D,98,1,,1,1
Type,Metropolis (Debug),Metropolis,ClassInformationFacade, ,75,6,1,13,16
Member,Metropolis (Debug),Metropolis,ClassInformationFacade,ClassInformationFacade(IDisplayClassInformation),77,1,,3,4
Member,Metropolis (Debug),Metropolis,ClassInformationFacade,ClearDisplay() : void,86,1,,2,2
Member,Metropolis (Debug),Metropolis,ClassInformationFacade,Display(GeometryModel3D) : void,69,1,,6,4
Member,Metropolis (Debug),Metropolis,ClassInformationFacade,"Display(object, MouseButtonEventArgs) : void",71,2,,7,5
