Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Project,Granados (Debug), , , ,83,1863,2,152,5213
Namespace,Granados (Debug),Granados, , ,91,819,2,69,1822
Type,Granados (Debug),Granados,AgentForwadPacketType, ,100,0,1,0,0
Type,Granados (Debug),Granados,AgentForwardingChannel, ,72,24,1,16,63
Member,Granados (Debug),Granados,AgentForwardingChannel,AgentForwardingChannel(IAgentForward),80,1,,2,3
Member,Granados (Debug),Granados,AgentForwardingChannel,"FindKey(SSH2UserAuthKey[], byte[]) : SSH2UserAuthKey",69,4,,2,6
Member,Granados (Debug),Granados,AgentForwardingChannel,OnChannelClosed() : void,81,2,,1,3
Member,Granados (Debug),Granados,AgentForwardingChannel,OnChannelEOF() : void,81,2,,1,3
Member,Granados (Debug),Granados,AgentForwardingChannel,OnChannelError(Exception) : void,95,1,,2,1
Member,Granados (Debug),Granados,AgentForwardingChannel,OnChannelReady() : void,100,1,,0,0
Member,Granados (Debug),Granados,AgentForwardingChannel,"OnData(byte[], int, int) : void",58,4,,6,13
Member,Granados (Debug),Granados,AgentForwardingChannel,"OnExtendedData(int, byte[]) : void",100,1,,0,0
Member,Granados (Debug),Granados,AgentForwardingChannel,"OnMiscPacket(byte, byte[], int, int) : void",100,1,,0,0
Member,Granados (Debug),Granados,AgentForwardingChannel,OpenWriter(AgentForwadPacketType) : SSH2DataWriter,74,1,,3,5
Member,Granados (Debug),Granados,AgentForwardingChannel,SendKeyList() : void,62,2,,6,10
Member,Granados (Debug),Granados,AgentForwardingChannel,SendSign(SSH2DataReader) : void,57,2,,7,14
Member,Granados (Debug),Granados,AgentForwardingChannel,SetChannel(SSHChannel) : void,95,1,,1,1
Member,Granados (Debug),Granados,AgentForwardingChannel,TransmitWriter(SSH2DataWriter) : void,74,1,,3,4
Type,Granados (Debug),Granados,AuthenticationResult, ,100,0,1,0,0
Type,Granados (Debug),Granados,AuthenticationType, ,100,0,1,0,0
Type,Granados (Debug),Granados,BigInteger, ,52,554,1,6,1322
Member,Granados (Debug),Granados,BigInteger,abs() : BigInteger,76,2,,0,4
